"date","lowest_price","median_price","volume"
"1615463040000","440.--€","400.01€","17"
"1615463040000","440.--€","400.01€","17"
"1615463040000","440.--€","400.01€","17"
"1615463700000","440.--€","400.01€","17"
"1615463760000","440.--€","400.01€","17"
"1615463820000","440.--€","400.01€","17"
"1615551960000","436.65€","477.27€","10"
"1615552020000","436.65€","477.27€","10"
"1615557480000","444.64€","436.65€","11"
"1615557780000","444.64€","436.65€","11"
"1615557780000","444.64€","436.65€","11"
"1615558140000","444.64€","436.65€","11"
"1615558200000","444.64€","436.65€","11"
"1615562820000","444.64€","423.51€","12"
"1615562820000","444.64€","423.51€","12"
"1615563120000","444.64€","423.51€","12"
"1615563480000","444.64€","423.51€","12"
"1615563900000","426.22€","423.51€","12"
"1615564080000","444.64€","423.51€","12"
"1615566060000","444.64€","411.11€","11"
"1615568100000","444.64€","411.11€","11"
"1615570080000","450.95€","474.29€","12"
"1615572060000","450.95€","474.29€","12"
"1615595400000","449.65€","468.--€","10"
"1615597380000","449.65€","468.--€","10"
"1615599420000","449.65€","468.--€","10"
"1615601400000","449.65€","468.--€","10"
"1615603380000","449.65€","468.--€","10"
"1615605420000","449.65€","468.--€","10"
"1615607400000","449.65€","468.--€","10"
"1615609380000","449.65€","410.23€","11"
"1615636920000","443.--€","444.62€","14"
"1615637580000","443.--€","444.62€","14"
"1615638240000","443.--€","444.62€","14"
"1615638900000","443.--€","444.62€","14"
"1615639560000","443.--€","444.62€","14"
"1615640220000","443.--€","444.62€","14"
"1615640880000","444.37€","444.62€","14"
"1615641540000","444.37€","444.62€","14"
"1615642200000","444.37€","444.62€","14"
"1615642860000","444.37€","444.62€","14"
"1615643520000","444.37€","444.62€","14"
"1615644180000","444.37€","444.62€","14"
"1615682280000","453.42€","444.62€","13"
"1615682580000","453.42€","444.62€","13"
"1615682880000","453.42€","444.62€","13"
"1615683180000","455.97€","444.62€","13"
"1615683480000","455.97€","444.62€","13"
"1615683780000","455.97€","444.62€","13"
"1615684080000","455.97€","444.62€","13"
"1615684380000","455.97€","444.62€","13"
"1615684680000","455.97€","444.62€","13"
"1615684980000","455.97€","444.62€","13"
"1615685280000","455.97€","444.62€","13"
"1615685580000","455.97€","444.62€","13"
"1615685880000","455.97€","444.62€","13"
"1615686180000","455.97€","444.62€","13"
"1615686480000","455.97€","444.62€","13"
"1615686780000","455.97€","444.62€","13"
"1615687080000","455.97€","444.62€","13"
"1615687380000","455.97€","444.62€","13"
"1615687680000","455.97€","444.62€","13"
"1615687980000","455.97€","444.62€","13"
"1615688280000","455.97€","444.62€","13"
"1615688580000","455.97€","444.62€","13"
"1615688880000","455.97€","444.62€","13"
"1615689180000","455.97€","444.62€","13"
"1615689480000","455.97€","444.62€","13"
"1615689780000","455.97€","444.62€","13"
"1615725600000","454.25€","444.62€","12"
"1615725900000","454.25€","444.62€","12"
"1615726200000","454.25€","444.62€","12"
"1615726500000","454.25€","444.62€","12"
"1615726800000","454.25€","444.62€","12"
"1615727100000","454.25€","444.62€","12"
"1615727400000","454.25€","444.62€","12"
"1615727700000","454.25€","444.62€","12"
"1615728000000","454.25€","444.62€","12"
"1615728300000","454.25€","444.62€","12"
"1615728600000","454.25€","444.62€","12"
"1615728900000","454.25€","444.62€","12"
"1615729200000","454.25€","444.62€","12"
"1615729500000","454.25€","444.62€","12"
"1615729800000","454.25€","444.62€","12"
"1615730100000","454.25€","444.62€","12"
"1615730400000","454.25€","444.62€","12"
"1615730700000","454.25€","444.62€","12"
"1615731000000","454.25€","444.62€","12"
"1615731300000","454.25€","444.62€","12"
"1615731600000","454.25€","444.62€","12"
"1615731900000","454.25€","444.62€","12"
"1615732200000","454.25€","444.62€","12"
"1615732500000","454.25€","444.62€","12"
"1615732800000","454.25€","444.62€","12"
"1615733100000","455.97€","444.62€","12"
"1615743540000","446.67€","417.79€","13"
"1615743840000","446.67€","417.79€","13"
"1615744140000","446.67€","417.79€","13"
"1615744440000","446.67€","417.79€","13"
"1615744740000","446.67€","417.79€","13"
"1615745040000","446.67€","417.79€","13"
"1615745340000","446.67€","417.79€","13"
1615745640000,"446.67€","417.79€","13"
